data_rilevazione,benzina,gasolio_auto
2021-12-20,1722.46,1587.14
2021-12-27,1719.59,1585.3199
2022-01-03,1723.0601,1587.92
2022-01-10,1733.4,1598.01
2022-01-17,1754.3101,1620.24
2022-01-24,1778.64,1647.14
2022-01-31,1796.72,1667.29
2022-02-07,1819.3199,1690.59
2022-02-14,1835.26,1708.1899
2022-02-21,1849.9399,1722.36
2022-02-28,1868.86,1740.47
2022-03-07,1953.14,1829.33
2022-03-14,2184.5801,2154.6299
2022-03-21,2137.1899,2124.5601
2022-03-28,1870.4399,1857.88
2022-04-04,1792.72,1788.17
2022-04-11,1765.36,1760.5601
2022-04-18,1757.24,1750.73
2022-04-25,1766.28,1767.42
2022-05-02,1778.28,1791.12
2022-05-09,1808.27,1830.6
2022-05-16,1823.14,1827.96
2022-05-23,1873.11,1819.95
2022-05-30,1885.46,1812.79
2022-06-06,1940.54,1851.52
2022-06-13,2014.26,1935.27
2022-06-20,2063.48,2006.04
2022-06-27,2073.98,2033.83
2022-07-04,2065.05,2022.53
2022-07-11,2028.4399,1981.63
2022-07-18,1988.71,1940.89
2022-07-25,1937.48,1894.46
2022-08-01,1877.15,1851.65
2022-08-08,1830.6,1811.28
2022-08-15,1770.22,1756.53
2022-08-22,1749.3101,1744.4
2022-08-29,1761.48,1808.6899
2022-09-05,1746.58,1838.4
2022-09-12,1722.22,1827.79
2022-09-19,1691.49,1803.09
2022-09-26,1656.12,1761.73
2022-10-03,1632.8101,1738.33
2022-10-10,1659.78,1788.98
2022-10-17,1697.59,1882.67
2022-10-24,1691.24,1880.08
2022-10-31,1677.74,1865.54
2022-11-07,1687.73,1858.5601
2022-11-14,1709.9301,1852.46
2022-11-21,1697.11,1809.92
2022-11-28,1659.8,1747.9301
2022-12-05,1689.4399,1764.6801
2022-12-12,1701.59,1770.08
2022-12-19,1662.96,1717.14
2022-12-26,1625.22,1689.77
